100 2 1000
92 1057 341 18
43 1813 984 26
82 430 338 15
69 1248 685 11
31 1736 612 33
26 335 48 7
45 1684 844 24
8 451 143 38
9 973 213 33
57 945 760 5
8 1733 109 13
68 652 297 6
27 428 844 31
69 1442 497 47
8 753 758 40
39 1195 616 22
75 1351 237 46
27 1714 318 15
75 1499 321 32
6 768 979 2
23 478 528 47
68 374 482 12
35 1592 949 38
72 1709 890 3
26 1247 917 40
20 1838 65 39
3 368 869 4
73 799 527 32
57 466 635 15
21 947 306 44
36 490 52 40
56 126 581 11
40 908 790 19
83 807 561 6
3 335 988 6
95 1849 373 6
56 1516 268 14
71 1140 541 19
14 1741 736 19
20 793 942 40
100 1153 76 37
98 860 887 36
44 385 968 29
90 548 414 33
61 1873 235 5
79 1590 345 30
83 469 241 15
52 812 674 20
18 223 225 35
43 66 801 8
78 869 347 41
29 1688 664 46
69 1719 324 15
29 1034 415 31
93 570 897 10
39 416 636 13
97 1003 665 11
66 509 298 19
27 1440 858 7
55 1327 530 47
22 22 734 31
84 1258 953 9
98 1605 454 18
89 21 65 18
56 1700 460 23
61 1763 440 48
89 1702 924 47
74 473 162 27
92 482 821 23
53 804 212 37
59 982 14 19
13 1454 337 42
82 144 886 30
10 605 375 27
42 641 775 17
62 1490 178 2
17 1329 789 40
92 688 502 26
22 15 547 31
11 1075 17 31
34 1762 823 34
28 1493 290 1
15 1139 530 16
9 373 475 19
28 683 30 49
22 712 688 47
78 920 448 11
84 931 874 38
49 1706 613 42
27 1261 354 50
59 647 793 5
53 1317 95 16
100 770 140 10
38 1713 976 50
27 1652 522 6
78 510 109 46
97 1814 108 45
8 1150 848 29
58 164 749 10
12 1693 416 4
32 22 328 41
3 1241 864 45
100 691 979 8
47 1625 409 26
61 161 194 3
72 1444 96 18
30 203 9 9
36 1195 736 30
24 1167 123 2
17 254 841 47
67 176 480 24
27 553 818 43
16 830 684 11
43 26 791 15
71 1088 452 40
50 1180 393 35
55 713 920 48
77 951 43 40
88 1273 650 7
89 706 46 3
34 876 856 3
49 1065 262 9
98 888 205 21
92 877 626 42
93 1086 283 21
5 1186 910 40
30 1591 454 24
74 1799 995 36
48 697 38 49
68 1526 89 24
81 857 715 49
13 1576 315 41
42 855 65 18
88 504 128 27
55 1482 204 4
19 1639 533 35
92 1300 80 47
84 875 445 47
20 1332 327 17
61 416 384 14
79 262 807 4
67 1871 46 2
75 1053 813 21
19 401 303 4
54 226 23 26
90 778 469 33
13 601 238 2
90 1091 141 12
82 16 247 4
91 1448 997 40
73 409 842 23
41 37 241 18
61 823 206 20
38 1498 806 38
83 533 943 40
95 188 369 33
70 507 315 12
43 622 992 39
49 1245 472 4
19 715 557 12
68 805 817 40
14 1308 394 11
75 187 894 31
94 115 14 16
99 449 753 32
40 1271 279 21
49 1093 478 38
5 1160 165 50
18 1603 269 1
27 347 276 35
97 214 228 21
89 365 901 6
90 1333 853 5
43 392 714 7
6 683 663 10
20 1426 72 24
83 650 582 9
9 9 597 1
7 178 995 5
84 1181 231 6
60 441 235 43
87 558 425 11
56 1140 562 1
27 1340 547 39
89 861 339 27
26 658 217 9
19 1030 346 8
9 1114 784 15
45 1641 654 20
73 1875 657 36
76 399 242 35
53 775 910 14
75 509 90 31
50 440 518 35
35 312 117 34
45 462 209 1
86 1690 642 29
49 1725 163 34
75 1048 284 20
49 400 411 36
78 932 194 25
54 313 920 41
94 209 512 25
29 976 524 7
41 760 57 14
62 1781 825 39
69 20 106 28
86 114 101 22
23 1493 133 44
24 1269 602 10
95 186 820 5
74 750 842 42
33 1628 341 27
40 944 487 26
47 1 722 48
55 1196 564 8
100 1306 775 21
96 1853 935 33
58 676 222 32
8 1757 597 41
98 738 102 49
74 1289 475 38
51 1811 99 45
97 1480 318 18
26 1702 928 22
82 11 57 8
45 957 189 10
87 1410 780 36
70 268 930 33
15 1013 750 11
11 1545 498 28
93 1684 368 17
61 1687 857 41
10 694 436 15
60 1708 723 2
31 1432 363 8
46 595 821 5
37 1488 60 19
91 803 103 27
91 667 383 20
92 1294 955 19
56 798 715 35
63 1403 142 29
46 842 869 17
71 709 383 1
4 1060 418 6
74 151 328 47
93 1676 980 50
39 1780 915 22
60 1841 881 34
14 1681 772 38
62 208 962 44
44 1573 151 3
36 1491 96 10
14 661 878 2
90 641 629 35
83 243 694 6
97 303 254 35
98 1013 537 14
97 1344 614 39
33 1872 716 16
95 1858 650 42
53 1654 897 8
37 1170 664 48
32 1594 666 21
87 212 17 27
43 1066 22 26
42 830 527 20
52 859 181 35
67 713 222 25
75 684 823 37
47 448 656 17
50 1890 303 29
55 1158 925 15
83 626 995 2
44 1199 887 32
81 1103 302 24
32 1861 115 26
85 665 410 11
48 1563 10 40
78 1286 812 8
10 271 593 40
37 1398 118 13
25 1575 297 35
60 550 83 8
83 409 347 47
49 1174 60 7
85 705 379 43
72 1455 146 30
50 528 692 48
68 1550 813 25
57 1872 661 41
65 409 953 34
81 1069 319 40
92 576 539 32
48 912 483 6
71 488 248 3
10 951 80 26
96 1250 179 34
23 1369 447 22
38 1260 593 47
95 1697 649 11
99 122 872 38
28 422 738 4
74 1772 433 31
76 1655 245 16
83 1741 107 19
2 89 159 42
31 837 620 24
33 154 442 19
33 594 424 9
43 1206 561 19
40 952 12 10
70 759 113 28
37 1763 789 34
11 497 594 22
2 149 772 43
21 476 165 21
94 5 263 2
71 803 397 13
15 1265 471 16
100 1242 642 29
88 1473 397 26
67 1599 468 36
62 466 649 37
54 385 276 24
16 35 760 1
73 1678 694 35
40 1364 17 37
41 296 888 14
73 490 34 44
44 821 440 37
33 1022 429 40
45 325 370 1
74 1163 435 7
30 395 174 24
60 898 863 27
11 1404 123 8
49 546 120 45
5 859 583 28
25 725 798 10
39 1735 717 13
47 106 341 16
40 255 632 15
23 1509 270 48
31 1181 764 27
62 76 188 44
46 1272 367 1
65 1606 23 34
85 1083 275 33
78 1697 964 40
27 580 445 14
24 760 436 2
6 307 660 16
46 116 824 44
16 72 131 37
90 1484 653 8
71 1026 457 31
59 560 947 40
79 445 980 12
81 1162 701 15
34 1412 67 42
64 142 910 28
92 1776 64 9
77 1496 796 12
17 337 583 15
89 1348 969 49
11 1797 212 5
8 388 248 11
34 1342 617 9
68 242 302 19
62 246 924 35
82 1615 275 35
4 1402 612 6
39 1814 646 13
37 641 792 41
96 266 204 25
84 1817 257 39
94 452 790 36
44 626 591 4
77 1087 859 17
94 1235 836 40
73 1184 745 28
37 1133 854 3
4 297 578 2
62 682 672 34
24 1782 138 45
90 454 908 37
79 1621 765 22
41 383 482 46
36 641 177 44
8 1314 123 12
63 271 293 44
9 1575 431 38
55 1365 754 5
30 943 714 33
39 1718 373 25
34 1183 902 28
60 4 391 36
29 1623 832 42
31 929 482 29
39 1455 909 10
65 1399 92 43
29 1644 554 26
52 754 38 15
49 473 817 37
61 1822 473 30
49 1688 210 20
19 1452 944 18
77 582 901 5
24 1260 105 23
6 1540 495 30
53 590 98 35
52 1628 497 48
36 1837 838 23
69 1137 156 36
57 391 960 50
70 350 973 16
60 393 602 10
17 1063 139 9
43 666 485 49
98 3 552 44
11 1310 239 34
4 1467 163 18
16 447 174 45
78 698 893 48
78 826 932 20
40 556 954 21
11 1054 607 7
8 110 420 15
43 1241 505 14
65 295 699 5
66 968 128 16
